"anno","mes","codigo_provincia","nombre_oficial","siglas_unificadas","votos","total_votos_prov","porcentaje"
1977,"06","02","Albacete","UCD_CDS",64285,168647,38.12
1977,"06","02","Albacete","PSOE",56166,168647,33.3
1977,"06","02","Albacete","PP",16034,168647,9.51
1977,"06","02","Albacete","IU_PCE_HISTORICO",15365,168647,9.11
1977,"06","02","Albacete","OTROS",11864,168647,7.03
1977,"06","02","Albacete","EXTREMA_DERECHA_ANTIGUA",4933,168647,2.93
1977,"06","03","Alicante/Alacant","PSOE",238630,555677,42.94
1977,"06","03","Alicante/Alacant","UCD_CDS",199986,555677,35.99
1977,"06","03","Alicante/Alacant","IU_PCE_HISTORICO",54521,555677,9.81
1977,"06","03","Alicante/Alacant","PP",36149,555677,6.51
1977,"06","03","Alicante/Alacant","OTROS",24978,555677,4.5
1977,"06","03","Alicante/Alacant","EXTREMA_DERECHA_ANTIGUA",1413,555677,0.25
1977,"06","04","Almería","UCD_CDS",90553,182630,49.58
1977,"06","04","Almería","PSOE",55276,182630,30.27
1977,"06","04","Almería","PP",14821,182630,8.12
1977,"06","04","Almería","IU_PCE_HISTORICO",12609,182630,6.9
1977,"06","04","Almería","OTROS",8665,182630,4.74
1977,"06","04","Almería","EXTREMA_DERECHA_ANTIGUA",706,182630,0.39
1977,"06","01","Araba/Álava","UCD_CDS",38867,125632,30.94
1977,"06","01","Araba/Álava","PSOE",36330,125632,28.92
1977,"06","01","Araba/Álava","PNV",28576,125632,22.75
1977,"06","01","Araba/Álava","PP",8178,125632,6.51
1977,"06","01","Araba/Álava","BILDU_HB",5155,125632,4.1
1977,"06","01","Araba/Álava","IU_PCE_HISTORICO",4945,125632,3.94
1977,"06","01","Araba/Álava","OTROS",3357,125632,2.67
1977,"06","01","Araba/Álava","EXTREMA_DERECHA_ANTIGUA",224,125632,0.18
1977,"06","33","Asturias","PSOE",224440,577393,38.87
1977,"06","33","Asturias","UCD_CDS",177772,577393,30.79
1977,"06","33","Asturias","PP",77752,577393,13.47
1977,"06","33","Asturias","IU_PCE_HISTORICO",65382,577393,11.32
1977,"06","33","Asturias","OTROS",29559,577393,5.12
1977,"06","33","Asturias","EXTREMA_DERECHA_ANTIGUA",2488,577393,0.43
1977,"06","06","Badajoz","UCD_CDS",149454,321253,46.52
1977,"06","06","Badajoz","PSOE",114971,321253,35.79
1977,"06","06","Badajoz","IU_PCE_HISTORICO",25640,321253,7.98
1977,"06","06","Badajoz","PP",21884,321253,6.81
1977,"06","06","Badajoz","OTROS",8552,321253,2.66
1977,"06","06","Badajoz","EXTREMA_DERECHA_ANTIGUA",752,321253,0.23
1977,"06","07","Balears, Illes","UCD_CDS",164659,322490,51.06
1977,"06","07","Balears, Illes","PSOE",91076,322490,28.24
1977,"06","07","Balears, Illes","PP",28498,322490,8.84
1977,"06","07","Balears, Illes","OTROS",20832,322490,6.46
1977,"06","07","Balears, Illes","IU_PCE_HISTORICO",17425,322490,5.4
1977,"06","08","Barcelona","PSOE",766127,2371160,32.31
1977,"06","08","Barcelona","JUNTS_CIU",501052,2371160,21.13
1977,"06","08","Barcelona","IU_PCE_HISTORICO",484907,2371160,20.45
1977,"06","08","Barcelona","UCD_CDS",359165,2371160,15.15
1977,"06","08","Barcelona","OTROS",126955,2371160,5.35
1977,"06","08","Barcelona","ERC",111155,2371160,4.69
1977,"06","08","Barcelona","CUP",12748,2371160,0.54
1977,"06","08","Barcelona","EXTREMA_DERECHA_ANTIGUA",5704,2371160,0.24
1977,"06","08","Barcelona","PP",3347,2371160,0.14
1977,"06","48","Bizkaia","PNV",168258,566427,29.71
1977,"06","48","Bizkaia","PSOE",151046,566427,26.67
1977,"06","48","Bizkaia","UCD_CDS",91752,566427,16.2
1977,"06","48","Bizkaia","BILDU_HB",62166,566427,10.98
1977,"06","48","Bizkaia","IU_PCE_HISTORICO",44630,566427,7.88
1977,"06","48","Bizkaia","PP",36314,566427,6.41
1977,"06","48","Bizkaia","OTROS",12261,566427,2.16
1977,"06","09","Burgos","UCD_CDS",89646,186090,48.17
1977,"06","09","Burgos","PSOE",50233,186090,26.99
1977,"06","09","Burgos","PP",28800,186090,15.48
1977,"06","09","Burgos","IU_PCE_HISTORICO",9510,186090,5.11
1977,"06","09","Burgos","OTROS",7901,186090,4.25
1977,"06","39","Cantabria","UCD_CDS",102827,256668,40.06
1977,"06","39","Cantabria","PSOE",83423,256668,32.5
1977,"06","39","Cantabria","PP",37040,256668,14.43
1977,"06","39","Cantabria","IU_PCE_HISTORICO",18218,256668,7.1
1977,"06","39","Cantabria","OTROS",13371,256668,5.21
1977,"06","39","Cantabria","EXTREMA_DERECHA_ANTIGUA",1789,256668,0.7
1977,"06","12","Castellón/Castelló","UCD_CDS",85473,241142,35.45
1977,"06","12","Castellón/Castelló","PSOE",77737,241142,32.24
1977,"06","12","Castellón/Castelló","OTROS",45627,241142,18.92
1977,"06","12","Castellón/Castelló","IU_PCE_HISTORICO",15266,241142,6.33
1977,"06","12","Castellón/Castelló","PP",14734,241142,6.11
1977,"06","12","Castellón/Castelló","EXTREMA_DERECHA_ANTIGUA",2305,241142,0.96
1977,"06","51","Ceuta","PSOE",10649,24218,43.97
1977,"06","51","Ceuta","UCD_CDS",8804,24218,36.35
1977,"06","51","Ceuta","PP",2914,24218,12.03
1977,"06","51","Ceuta","OTROS",1851,24218,7.64
1977,"06","13","Ciudad Real","UCD_CDS",103493,251778,41.1
1977,"06","13","Ciudad Real","PSOE",94830,251778,37.66
1977,"06","13","Ciudad Real","PP",31361,251778,12.46
1977,"06","13","Ciudad Real","IU_PCE_HISTORICO",17665,251778,7.02
1977,"06","13","Ciudad Real","OTROS",4429,251778,1.76
1977,"06","15","Coruña, A","UCD_CDS",222944,449996,49.54
1977,"06","15","Coruña, A","PSOE",102636,449996,22.81
1977,"06","15","Coruña, A","PP",49608,449996,11.02
1977,"06","15","Coruña, A","OTROS",43692,449996,9.71
1977,"06","15","Coruña, A","IU_PCE_HISTORICO",21654,449996,4.81
1977,"06","15","Coruña, A","BNG",8271,449996,1.84
1977,"06","15","Coruña, A","EXTREMA_DERECHA_ANTIGUA",1191,449996,0.26
1977,"06","16","Cuenca","UCD_CDS",70764,126242,56.05
1977,"06","16","Cuenca","PSOE",30444,126242,24.12
1977,"06","16","Cuenca","PP",10327,126242,8.18
1977,"06","16","Cuenca","IU_PCE_HISTORICO",8077,126242,6.4
1977,"06","16","Cuenca","OTROS",4896,126242,3.88
1977,"06","16","Cuenca","EXTREMA_DERECHA_ANTIGUA",1734,126242,1.37
1977,"06","10","Cáceres","UCD_CDS",115678,208996,55.35
1977,"06","10","Cáceres","PSOE",59107,208996,28.28
1977,"06","10","Cáceres","PP",19517,208996,9.34
1977,"06","10","Cáceres","IU_PCE_HISTORICO",9024,208996,4.32
1977,"06","10","Cáceres","OTROS",4477,208996,2.14
1977,"06","10","Cáceres","EXTREMA_DERECHA_ANTIGUA",1193,208996,0.57
1977,"06","11","Cádiz","PSOE",194172,417442,46.51
1977,"06","11","Cádiz","UCD_CDS",113914,417442,27.29
1977,"06","11","Cádiz","IU_PCE_HISTORICO",53435,417442,12.8
1977,"06","11","Cádiz","OTROS",33287,417442,7.97
1977,"06","11","Cádiz","PP",20632,417442,4.94
1977,"06","11","Cádiz","EXTREMA_DERECHA_ANTIGUA",2002,417442,0.48
1977,"06","14","Córdoba","PSOE",134934,359983,37.48
1977,"06","14","Córdoba","UCD_CDS",117217,359983,32.56
1977,"06","14","Córdoba","IU_PCE_HISTORICO",63433,359983,17.62
1977,"06","14","Córdoba","PP",33544,359983,9.32
1977,"06","14","Córdoba","OTROS",10153,359983,2.82
1977,"06","14","Córdoba","EXTREMA_DERECHA_ANTIGUA",702,359983,0.2
1977,"06","20","Gipuzkoa","PNV",101696,329985,30.82
1977,"06","20","Gipuzkoa","PSOE",97979,329985,29.69
1977,"06","20","Gipuzkoa","BILDU_HB",67666,329985,20.51
1977,"06","20","Gipuzkoa","OTROS",46419,329985,14.07
1977,"06","20","Gipuzkoa","IU_PCE_HISTORICO",16225,329985,4.92
1977,"06","17","Girona","JUNTS_CIU",81070,245990,32.96
1977,"06","17","Girona","PSOE",62217,245990,25.29
1977,"06","17","Girona","UCD_CDS",44751,245990,18.19
1977,"06","17","Girona","OTROS",26627,245990,10.82
1977,"06","17","Girona","IU_PCE_HISTORICO",25127,245990,10.21
1977,"06","17","Girona","ERC",6198,245990,2.52
1977,"06","18","Granada","UCD_CDS",153945,349807,44.01
1977,"06","18","Granada","PSOE",124908,349807,35.71
1977,"06","18","Granada","IU_PCE_HISTORICO",38029,349807,10.87
1977,"06","18","Granada","PP",24796,349807,7.09
1977,"06","18","Granada","OTROS",8129,349807,2.32
1977,"06","19","Guadalajara","UCD_CDS",40320,82166,49.07
1977,"06","19","Guadalajara","PSOE",19563,82166,23.81
1977,"06","19","Guadalajara","PP",13136,82166,15.99
1977,"06","19","Guadalajara","IU_PCE_HISTORICO",6123,82166,7.45
1977,"06","19","Guadalajara","EXTREMA_DERECHA_ANTIGUA",3024,82166,3.68
1977,"06","21","Huelva","UCD_CDS",94184,196777,47.86
1977,"06","21","Huelva","PSOE",71377,196777,36.27
1977,"06","21","Huelva","IU_PCE_HISTORICO",15080,196777,7.66
1977,"06","21","Huelva","PP",9822,196777,4.99
1977,"06","21","Huelva","OTROS",6314,196777,3.21
1977,"06","22","Huesca","UCD_CDS",55953,122560,45.65
